X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-77.0477898660708,38.818757328518,28141966,38.818748,-77.047783,Powhatan St & Bashford Ln,classic,416,active,2022/04/05 10:29:28+00,7,0,8,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"CREDITCARD,KEY",40,2022/04/05 13:12:44+00,,"Alexandria, VA"
-77.0478431565184,38.8295494609216,28141967,38.829545,-77.047844,Potomac Ave & Swann Ave,classic,417,active,2022/04/05 06:59:15+00,17,0,2,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"CREDITCARD,KEY",40,2022/04/05 13:12:44+00,,"Alexandria, VA"
-77.0322249628347,38.9285570569183,28141968,38.928552,-77.032224,14th & Irving St NW,classic,418,active,2022/04/05 12:50:22+00,12,0,19,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,31,"CREDITCARD,KEY",42,2022/04/05 13:12:44+00,,"Washington, DC"
-77.0344490840428,38.9011440542281,28141969,38.901136,-77.034451,Vermont Ave & I St NW,classic,419,active,2022/04/05 10:20:48+00,8,0,17,2,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,25,"CREDITCARD,KEY",42,2022/04/05 13:12:44+00,,"Washington, DC"
-77.0802138584383,38.9498205807519,28141970,38.949813,-77.080217,Wisconsin Ave & Brandywine St NW,classic,420,active,2022/04/05 05:56:02+00,25,0,0,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,25,"CREDITCARD,KEY",42,2022/04/05 13:12:44+00,,"Washington, DC"
-76.9719261535664,38.9126404152723,28141971,38.91263,-76.971923,24th & R St NE / National Arboretum,classic,421,active,2022/04/05 08:06:02+00,10,0,7,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"CREDITCARD,KEY",42,2022/04/05 13:12:44+00,,"Washington, DC"
-76.9259132505353,38.8974141975119,28141972,38.897407,-76.925907,Division Ave & Foote St NE,classic,422,active,2022/04/05 04:23:07+00,11,0,4,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"CREDITCARD,KEY",42,2022/04/05 13:12:44+00,,"Washington, DC"
-76.9823598613978,38.8706994686156,28141973,38.870695,-76.982359,16th & Q St SE / Anacostia HS,classic,423,active,2022/04/05 04:23:07+00,22,0,0,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,23,"CREDITCARD,KEY",42,2022/04/05 13:12:44+00,,"Washington, DC"
-77.2406601546871,38.9292685972545,28141974,38.929261,-77.240654,Spring Hill Metro,classic,424,active,2022/04/05 04:23:07+00,9,0,6,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"CREDITCARD,KEY",104,2022/04/05 13:12:44+00,,"Fairfax, VA"
-77.2359604523307,38.9240353227432,28141975,38.92403,-77.235955,Westpark Dr & Leesburg Pike,classic,425,active,2022/04/05 04:58:49+00,9,0,2,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"CREDITCARD,KEY",104,2022/04/05 13:12:44+00,,"Fairfax, VA"
